Chr	GeneID	GeneName	Start	Stop	CodingLength	log2FoldChange	Foldchange	pval	padj
chr7	ENSG00000273489	RP11-180C16.1	131178723	131182453	3731	-0.338	0.791	0.18318029	0.40997385
chr10	ENSG00000273485	RP11-225H22.7	105209953	105210609	657	-0.844	0.557	0.032932172	0.133479533
chr1	ENSG00000273478	RP11-465N4.5	201964824	201965480	657	0.163	1.12	0.51129482	0.732882038
chr19	ENSG00000273439	ZNF8	58790318	58807254	2210	0.806	1.748	0.005445204	0.036145283
chr7	ENSG00000273433	RP1-170O19.22	27168588	27192180	919	-2.086	0.235	0.041514198	0.156564161
chr7	ENSG00000273432	RP5-1165K10.2	43991509	44058750	2076	0.033	1.023	0.894160266	0.955158315
chr19	ENSG00000273420	CTD-2540B15.13	33698035	33698545	511	-0.029	0.98	0.920755383	0.966750167
chr7	ENSG00000273419	RP4-751H13.7	149555489	149559581	4093	0.573	1.488	0.037349195	0.145546179
chr10	ENSG00000273413	RP11-96C23.15	88729994	88730583	465	-0.769	0.587	0.004994476	0.033890206
chr2	ENSG00000273398	RP11-474G23.1	68358370	68488362	2306	-0.045	0.97	0.808774125	0.916223653
chr22	ENSG00000273387	RP3-412A9.16	31478142	31479551	1410	-0.312	0.805	0.339043818	0.585083098
chr1	ENSG00000273382	RP5-1065J22.8	109630593	109633480	2888	-0.022	0.985	0.937202345	0.974130576
chr1	ENSG00000273373	RP5-1074L1.4	110912776	110915625	2850	0.374	1.296	0.321274917	0.568096148
chr2	ENSG00000273361	RP11-378A13.2	219263466	219263942	477	0.137	1.1	0.673140005	0.843698953
chr5	ENSG00000273345	CTD-2410N18.4	133541305	133706735	1745	-0.103	0.931	0.601395638	0.796665463
chr7	ENSG00000273344	PAXIP1-AS1	154795158	154797413	2256	-0.168	0.89	0.539526898	0.754247704
chr6	ENSG00000273333	XXbac-BPG300A18.13	32152516	32153659	656	0.359	1.282	0.085961289	0.253548461
chr3	ENSG00000273331	TM4SF19	196042953	196065244	964	-0.061	0.959	0.852244284	0.93647497
chr7	ENSG00000273329	RP11-448A19.1	129244389	129251471	7083	0.299	1.231	0.329938547	0.576615282
chr3	ENSG00000273328	RP11-141M3.5	42850906	42949597	3933	0.581	1.495	0.097740605	0.275418788
chr19	ENSG00000273318	AC018755.2	52196614	52197610	992	1.354	2.557	7.95E-05	0.001055574
chr7	ENSG00000273314	RP5-1136G13.2	148393559	148395756	2198	-0.021	0.985	0.939098419	0.974802905
chr7	ENSG00000273299	CTB-13L3.1	90032748	90142705	371	0.036	1.025	0.918734307	0.965837878
chr5	ENSG00000273294	RP11-1084J3.4	33987279	34124633	3424	0.034	1.024	0.908898342	0.961369722
chr3	ENSG00000273291	KRBOX1	42850938	43097363	1654	-0.02	0.986	0.959017887	0.984236485
chr17	ENSG00000273290	CTC-297N7.8	10575791	10579323	3533	0.543	1.457	0.067795092	0.217126477
chr9	ENSG00000273281	RP11-339B21.14	131068269	131068629	361	0.958	1.943	0.010674389	0.05971816
chr2	ENSG00000273275	RP11-474G23.2	68406965	68407664	700	-0.565	0.676	0.008026966	0.048399349
chr1	ENSG00000273274	ZBTB8B	32930670	32962287	12834	0.881	1.841	0.004867316	0.033322961
chr7	ENSG00000273270	RP11-212P7.2	128164070	128171123	7054	0.297	1.228	0.283452497	0.529378121
chr2	ENSG00000273269	RP11-761B3.1	47293080	47403650	983	-0.198	0.872	0.304779647	0.552151282
